"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"lattice","lattice","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.22-6","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"lava","lava","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.0",NA,"R (>= 3.0)","cli, future.apply, graphics, grDevices, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",NA,"KernSmooth, Rgraphviz, data.table, ellipse, fields, geepack,
graph, knitr, rmarkdown, igraph (>= 0.6), lavaSearch2, lme4 (>=
1.1.35.1), MASS, Matrix (>= 1.6.3), mets (>= 1.1), nlme,
optimx, polycor, quantreg, rgl, targeted (>= 0.4), testthat (>=
0.11), visNetwork",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"lavaan","lavaan","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6-19",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv, quadprog",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"lazyeval","lazyeval","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"leaps","leaps","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.2",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"leiden","leiden","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.3.1",NA,NA,"methods, reticulate, Matrix, igraph (>= 1.2.7)",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
markdown, multiplex, multinet, network, qpdf, RColorBrewer,
remotes, rmarkdown, spelling, testthat, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"leidenbase","leidenbase","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.31",NA,"R (>= 3.5.0)","igraph (>= 0.9.0)",NA,"rmarkdown, knitr, testthat (>= 3.1.0), pandoc",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"lifecycle","lifecycle","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"limma","limma","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.62.1",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods, statmod",NA,"BiasedUrn, ellipse, gplots, knitr, locfit, MASS, splines,
affy, AnnotationDbi, Biobase, BiocStyle, GO.db, illuminaio,
org.Hs.eg.db, vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.4.1"
"lintr","lintr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1.2",NA,"R (>= 3.5)","backports (>= 1.1.7), codetools, cyclocomp, digest, glue,
knitr, rex, stats, utils, xml2 (>= 1.0.0), xmlparsedata (>=
1.0.5)",NA,"bookdown, crayon, httr (>= 1.2.1), jsonlite, mockery,
patrick, rlang, rmarkdown, rstudioapi (>= 0.2), testthat (>=
3.1.5), tibble, tufte, withr (>= 2.5.0)","data.table","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"listenv","listenv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.1",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"lme4","lme4","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1-36",NA,"R (>= 3.6.0), Matrix, methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4),
reformulas (>= 0.3.0)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix (>=
1.2-3)","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.3"
"lmls","lmls","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.1",NA,"R (>= 3.5.0)","generics (>= 0.1.0)",NA,"bookdown, coda, covr, ggplot2, knitr, mgcv, mvtnorm,
numDeriv, patchwork, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"lmtest","lmtest","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"locfit","locfit","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5-9.10",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"locpol","locpol","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8.0",NA,"R (>= 2.5.0), graphics, stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"loo","loo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.8.0",NA,"R (>= 3.1.2)","checkmate, matrixStats (>= 0.52), parallel, posterior (>=
1.5.0), stats",NA,"bayesplot (>= 1.7.0), brms (>= 2.10.0), ggplot2, graphics,
knitr, rmarkdown, rstan, rstanarm (>= 2.19.0), rstantools,
spdep, testthat (>= 2.1.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"lubridate","lubridate","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.9.4",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.3.0)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.6.5)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"mada","mada","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.11",NA,"R (>= 3.5.0), stats, mvtnorm, ellipse, mvmeta, metafor","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"magic","magic","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6-1",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"magick","magick","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.8.5",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"magrittr","magrittr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"maps","maps","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.4.2.1",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.2"
"markdown","markdown","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.13",NA,"R (>= 2.11.1)","utils, commonmark (>= 1.9.0), xfun (>= 0.38)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"MASS","MASS","C:/Users/zhouy/AppData/Local/R/win-library/4.4","7.3-61","recommended","R (>= 4.4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"mathjaxr","mathjaxr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6-0",NA,NA,NA,NA,"js",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"Matrix","Matrix","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7-1","recommended","R (>= 4.4.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.4.2"
"MatrixGenerics","MatrixGenerics","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.18.0",NA,"matrixStats (>= 1.4.1)","methods",NA,"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"MatrixModels","MatrixModels","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5-3",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"matrixStats","matrixStats","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.1",NA,"R (>= 2.12.0)",NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.2"
"maxLik","maxLik","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5-2.1",NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods","sandwich, generics",NA,"MASS, clue, dlm, plot3D, tibble, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"maxstat","maxstat","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.7-25",NA,"R (>= 1.7.0)","exactRankTests(>= 0.8-23), mvtnorm(>= 0.5-10), stats, graphics",NA,"TH.data, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"mclust","mclust","C:/Users/zhouy/AppData/Local/R/win-library/4.4","6.1.1",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.4), rmarkdown (>= 2.10), mix (>= 1.0), geometry
(>= 0.4), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"mcmc","mcmc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-8",NA,"R (>= 3.6.0)","stats",NA,"xtable, Iso",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"MCMCglmm","MCMCglmm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.36",NA,"Matrix, coda, ape","corpcor, tensorA, cubature, methods",NA,"rgl, combinat, mvtnorm, orthopolynom, MCMCpack, bayesm, msm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"MCMCpack","MCMCpack","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7-1",NA,"R (>= 3.6), coda (>= 0.11-3), MASS, stats","graphics, grDevices, lattice, methods, utils, mcmc, quantreg",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.2"
"mcmcplots","mcmcplots","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.3",NA,"coda (>= 0.17.1)","sfsmisc, colorspace, denstrip",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"memoise","memoise","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"meta","meta","C:/Users/zhouy/AppData/Local/R/win-library/4.4","8.0-1",NA,"R (>= 4.0.0), metadat","metafor (>= 3.0-0), grid, lme4, CompQuadForm, xml2, dplyr,
methods, readr, magrittr, purrr, stringr",NA,"netmeta, BiasedUrn, pimeta, estmeansd, writexl, rmarkdown,
knitr, robvis, brglm2",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"metadat","metadat","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2-0",NA,"R (>= 4.0.0)","utils, tools, mathjaxr",NA,"metafor, numDeriv, BiasedUrn, dfoptim, igraph, ape, testthat,
digest, lme4, clubSandwich, meta, netmeta, mvtnorm, gridExtra,
rms",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"metafor","metafor","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.6-0",NA,"R (>= 4.0.0), methods, Matrix, metadat, numDeriv","stats, utils, graphics, grDevices, nlme, mathjaxr, pbapply",NA,"lme4, pracma, minqa, nloptr, dfoptim, ucminf, lbfgsb3c,
subplex, BB, Rsolnp, alabama, optimParallel, CompQuadForm,
mvtnorm, BiasedUrn, Epi, survival, GLMMadaptive, glmmTMB,
multcomp, gsl, sp, ape, boot, clubSandwich, crayon, R.rsp,
testthat, rmarkdown, wildmeta, emmeans, estmeansd, metaBLUE,
rstudioapi",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"metasens","metasens","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5-2",NA,"meta (>= 5.5-0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"MetaStan","MetaStan","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.0",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.17), methods, rstan (>= 2.18.1), rstantools (>=
1.5.0), loo (>= 2.0), forestplot (>= 1.6), metafor (>= 2.0-0),
HDInterval, coda","StanHeaders (>= 2.18.0), rstan (>= 2.18.1), BH (>=
1.66.0-1), Rcpp (>= 0.12.17), RcppEigen (>= 0.3.3.4.0),
RcppParallel (>= 5.0.1),","testthat, knitr, rmarkdown, ggplot2, shinystan, vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"mgcv","mgcv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.9-1","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"mice","mice","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.17.0",NA,"R (>= 2.10.0)","broom, dplyr, glmnet, graphics, grDevices, lattice, mitml,
nnet, Rcpp, rpart, stats, tidyr, utils","cpp11, Rcpp","broom.mixed, future, furrr, haven, knitr, literanger, lme4,
MASS, miceadds, pan, parallelly, purrr, ranger, randomForest,
rmarkdown, rstan, survival, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"microbenchmark","microbenchmark","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.0",NA,"R (>= 3.2.0)","graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"mime","mime","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.4.0"
"miniUI","miniUI","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"minqa","minqa","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.8",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.2"
"miscTools","miscTools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6-28",NA,"R (>= 2.14.0)","digest",NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"mitml","mitml","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4-5",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, methods, utils",NA,"mice, miceadds, Amelia, lme4, nlme, lavaan, geepack, glmmTMB,
survival, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"mitools","mitools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"mixmeta","mixmeta","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.0",NA,"R (>= 3.5.0)","stats, graphics, grDevices, utils",NA,"metafor, meta, rmeta, dosresmeta, nlme, MASS, dlnm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"mixtools","mixtools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.0",NA,"R (>= 4.0.0)","kernlab, MASS, plotly, scales, segmented, stats, survival",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"mnorm","mnorm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.2",NA,NA,"Rcpp (>= 1.0.10), hpa (>= 1.3.1)","Rcpp, RcppArmadillo, hpa",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"mnormt","mnormt","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.1",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"ModelMetrics","ModelMetrics","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"modelr","modelr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"modelsummary","modelsummary","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.2.0",NA,"R (>= 4.0.0)","checkmate (>= 2.3.1), data.table (>= 1.15.2), generics, glue,
insight (>= 0.20.3), methods, parameters (>= 0.22.1),
performance (>= 0.11.0), tables (>= 0.9.17), tinytable (>=
0.4.0)",NA,"AER, altdoc, Amelia, betareg, bookdown, brms, broom,
broom.mixed, car, clubSandwich, correlation, covr, did, digest,
DT, estimatr, fixest, flextable, future, future.apply, gamlss,
ggdist, ggplot2, gh, gt (>= 0.8.0), gtExtras, haven, huxtable,
labelled, IRdisplay, ivreg, kableExtra, knitr, lavaan, lfe,
lme4, lmtest, magick, magrittr, marginaleffects, MASS, mgcv,
mice, nlme, nnet, officer, openxlsx, pandoc, parallel, pscl,
psych, remotes, rmarkdown, rstanarm, rsvg, sandwich, spelling,
survey, survival, tibble, tictoc, tidyselect, tidyverse,
tinysnapshot (>= 0.0.6), tinytest, tinytex, webshot2,
wesanderson",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"MRMCaov","MRMCaov","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.0",NA,"R (>= 3.5.0)","ggplot2, methods, mvtnorm, progress, tibble, trust",NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"multcomp","multcomp","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4-26",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"multicool","multicool","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"munsell","munsell","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.1",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"mvmeta","mvmeta","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.3",NA,"R (>= 2.13.0)","mixmeta, stats, graphics, grDevices, utils",NA,"metafor, meta, rmeta, nlme, MASS, dlnm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"mvtnorm","mvtnorm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3-2",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.2"
"netmeta","netmeta","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.9-0",NA,"R (>= 4.0.0), meta (>= 6.2-0)","magic, MASS, ggplot2 (>= 3.0.0), metafor",NA,"colorspace, rgl, hasseDiagram (>= 0.1.3), grid, mvtnorm,
gridExtra, igraph (>= 1.0.1), tictoc, writexl, cccp, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"network","network","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.19.0",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"nleqslv","nleqslv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.3.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"nlme","nlme","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1-166","recommended","R (>= 3.6.0)","graphics, stats, utils, lattice",NA,"MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"nloptr","nloptr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.1",NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"nnet","nnet","C:/Users/zhouy/AppData/Local/R/win-library/4.4","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"nnls","nnls","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6",NA,NA,NA,NA,"bvls, quadprog",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"np","np","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.60-17",NA,NA,"boot, cubature, methods, quadprog, quantreg, stats",NA,"MASS, logspline, ks",NA,"GPL",NA,NA,NA,NA,"yes","4.4.1"
"numDeriv","numDeriv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"officer","officer","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.7",NA,NA,"cli, graphics, grDevices, openssl, R6, ragg, stats, utils,
uuid, xml2 (>= 1.1.0), zip (>= 2.1.0)",NA,"devEMF, doconv (>= 0.3.0), ggplot2, knitr, magick, rmarkdown,
rsvg, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"openssl","openssl","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.2.2",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"openxlsx","openxlsx","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.2.8",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","curl, formula.tools, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.3"
"ordinal","ordinal","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2023.12-4.1",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"packrat","packrat","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.2",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"pan","pan","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.9",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"pandoc","pandoc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.0",NA,"R (>= 3.5.0)","fs, rappdirs, rlang (>= 1.0.1)",NA,"covr, gh, rmarkdown (>= 2.14), testthat (>= 3.0.0), tibble,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"parallelly","parallelly","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.40.1",NA,NA,"parallel, tools, utils",NA,"commonmark, base64enc",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.4.2"
"parameters","parameters","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.24.0",NA,"R (>= 3.6)","bayestestR (>= 0.15.0), datawizard (>= 0.13.0), insight (>=
1.0.0), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor (>= 0.9.12-4.7), BayesFM, bbmle,
betareg, BH, biglm, blme, boot, brglm2, brms, broom,
broom.mixed, cAIC4, car, carData, cgam, ClassDiscovery,
clubSandwich, cluster, cobalt, coda, coxme, cplm, dbscan, did,
distributional, domir (>= 0.2.0), drc, DRR, effectsize (>=
0.8.6), EGAnet, emmeans (>= 1.7.0), epiR, estimatr, factoextra,
FactoMineR, faraway, fastICA, fixest, fpc, gam, gamlss, gee,
geepack, ggeffects (>= 1.3.2), ggplot2, GLMMadaptive, glmmTMB
(>= 1.1.10), glmtoolbox, GPArotation, gt, haven, httr2, Hmisc,
ivreg, knitr, lavaan, lfe, lm.beta, lme4, lmerTest, lmtest,
logistf, logspline, lqmm, M3C, marginaleffects (>= 0.20.4),
MASS, Matrix, mclogit, mclust, MCMCglmm, mediation, merDeriv,
metaBMA, metafor, mfx, mgcv, mice, mmrm, multcomp, MuMIn,
NbClust, nFactors, nestedLogit, nlme, nnet, openxlsx, ordinal,
panelr, pbkrtest, PCDimension, performance (>= 0.12.0), plm,
PMCMRplus, poorman, posterior, PROreg (>= 1.3.0), pscl, psych,
pvclust, quantreg, randomForest, RcppEigen, rmarkdown, rms,
rstan, rstanarm, sandwich, see (>= 0.8.1), serp, sparsepca,
survey, survival, svylme, testthat (>= 3.2.1), tidyselect,
tinytable (>= 0.1.0), TMB, truncreg, vdiffr, VGAM, WeightIt (>=
1.2.0), withr, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
